"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","Error login","","Wed Mar 19 12:56:11 CET 2025","broken","Wed Mar 19 12:56:11 CET 2025","","","",""
"","1138","Successful login","","Wed Mar 19 09:34:32 CET 2025","passed","Wed Mar 19 09:34:33 CET 2025","","","",""
"","395","Successful login","","Wed Mar 19 11:45:59 CET 2025","passed","Wed Mar 19 11:45:59 CET 2025","","","",""
"","286","ereur login","","Wed Mar 19 12:17:03 CET 2025","passed","Wed Mar 19 12:17:03 CET 2025","","","",""
"","257","ereur login","","Wed Mar 19 12:17:03 CET 2025","passed","Wed Mar 19 12:17:03 CET 2025","","","",""
"","211","Error login","","Wed Mar 19 12:56:10 CET 2025","broken","Wed Mar 19 12:56:10 CET 2025","","","",""
"","222","ereur login","","Wed Mar 19 12:17:03 CET 2025","passed","Wed Mar 19 12:17:04 CET 2025","","","",""
"","206","Error login","","Wed Mar 19 12:56:10 CET 2025","broken","Wed Mar 19 12:56:10 CET 2025","","","",""
"","853","Failed login with wrong credentials","","Tue Mar 18 14:33:13 CET 2025","passed","Tue Mar 18 14:33:14 CET 2025","","","",""
"","278","Error login","","Wed Mar 19 12:56:11 CET 2025","broken","Wed Mar 19 12:56:11 CET 2025","","","",""
"","205","Error login","","Wed Mar 19 12:56:10 CET 2025","broken","Wed Mar 19 12:56:10 CET 2025","","","",""
"","389","ereur login","","Wed Mar 19 11:46:00 CET 2025","passed","Wed Mar 19 11:46:00 CET 2025","","","",""
"","218","Successful login","","Wed Mar 19 12:56:09 CET 2025","broken","Wed Mar 19 12:56:09 CET 2025","","","",""
"","212","Error login","","Wed Mar 19 12:56:10 CET 2025","broken","Wed Mar 19 12:56:10 CET 2025","","","",""
"","215","Successful login","","Wed Mar 19 12:56:09 CET 2025","broken","Wed Mar 19 12:56:09 CET 2025","","","",""
"","199","Successful login","","Wed Mar 19 12:56:09 CET 2025","broken","Wed Mar 19 12:56:09 CET 2025","","","",""
"","276","ereur login","","Wed Mar 19 12:17:03 CET 2025","passed","Wed Mar 19 12:17:03 CET 2025","","","",""
"","364","ereur login","","Wed Mar 19 11:46:00 CET 2025","passed","Wed Mar 19 11:46:01 CET 2025","","","",""
"","215","Error login","","Wed Mar 19 12:56:11 CET 2025","broken","Wed Mar 19 12:56:11 CET 2025","","","",""
"","383","Successful login","","Wed Mar 19 11:45:59 CET 2025","passed","Wed Mar 19 11:46:00 CET 2025","","","",""
"","246","Post","","Wed Mar 19 12:56:08 CET 2025","broken","Wed Mar 19 12:56:09 CET 2025","","","",""
"","228","Successful login","","Wed Mar 19 12:56:09 CET 2025","broken","Wed Mar 19 12:56:10 CET 2025","","","",""
